Tipo de dato;Grupos ECOICOP;Comunidades y Ciudades Autónomas;Periodo;Total
Índice;Índice general;Nacional;2025M12;119,942
Índice;Índice general;Nacional;2025M11;119,532
Índice;Índice general;Nacional;2025M10;119,301
Índice;Índice general;Nacional;2025M09;118,485
Índice;Índice general;Nacional;2025M08;118,824
Índice;Índice general;Nacional;2025M07;118,777
Índice;Índice general;Nacional;2025M06;118,867
Índice;Índice general;Nacional;2025M05;118,077
Índice;Índice general;Nacional;2025M04;117,997
Índice;Índice general;Nacional;2025M03;117,260
Índice;Índice general;Nacional;2025M02;117,191
Índice;Índice general;Nacional;2025M01;116,733
Índice;Índice general;Nacional;2024M12;116,534
Índice;Índice general;Nacional;2024M11;116,010
Índice;Índice general;Nacional;2024M10;115,726
Índice;Índice general;Nacional;2024M09;115,009
Índice;Índice general;Nacional;2024M08;115,707
Índice;Índice general;Nacional;2024M07;115,660
Índice;Índice general;Nacional;2024M06;116,212
Índice;Índice general;Nacional;2024M05;115,776
Índice;Índice general;Nacional;2024M04;115,472
Índice;Índice general;Nacional;2024M03;114,674
Índice;Índice general;Nacional;2024M02;113,807
Índice;Índice general;Nacional;2024M01;113,404
Índice;Índice general;Nacional;2023M12;113,308
Índice;Índice general;Nacional;2023M11;113,280
Índice;Índice general;Nacional;2023M10;113,676
Índice;Índice general;Nacional;2023M09;113,348
Índice;Índice general;Nacional;2023M08;113,149
Índice;Índice general;Nacional;2023M07;112,544
Índice;Índice general;Nacional;2023M06;112,354
Índice;Índice general;Nacional;2023M05;111,719
Índice;Índice general;Nacional;2023M04;111,773
Índice;Índice general;Nacional;2023M03;111,111
Índice;Índice general;Nacional;2023M02;110,703
Índice;Índice general;Nacional;2023M01;109,668
Índice;Índice general;Nacional;2022M12;109,899
Índice;Índice general;Nacional;2022M11;109,734
Índice;Índice general;Nacional;2022M10;109,866
Índice;Índice general;Nacional;2022M09;109,498
Índice;Índice general;Nacional;2022M08;110,265
Índice;Índice general;Nacional;2022M07;109,986
Índice;Índice general;Nacional;2022M06;110,267
Índice;Índice general;Nacional;2022M05;108,262
Índice;Índice general;Nacional;2022M04;107,375
Índice;Índice general;Nacional;2022M03;107,566
Índice;Índice general;Nacional;2022M02;104,403
Índice;Índice general;Nacional;2022M01;103,567
Índice;Índice general;Nacional;2021M12;103,965
Índice;Índice general;Nacional;2021M11;102,738
Índice;Índice general;Nacional;2021M10;102,425
Índice;Índice general;Nacional;2021M09;100,575
Índice;Índice general;Nacional;2021M08;99,743
Índice;Índice general;Nacional;2021M07;99,292
Índice;Índice general;Nacional;2021M06;100,046
Índice;Índice general;Nacional;2021M05;99,572
Índice;Índice general;Nacional;2021M04;99,105
Índice;Índice general;Nacional;2021M03;97,949
Índice;Índice general;Nacional;2021M02;97,008
Índice;Índice general;Nacional;2021M01;97,583
Índice;Índice general;Nacional;2020M12;97,574
